
#,NAME,PSRJ,RAJ,DECJ,PMRA,PMDEC,P0,P1,F0,F1,F2,S400,S1400,S2000,BINARY,PB,DIST,DIST_DM,PSR,R_LUM,R_LUM14,AGE,TYPE,
43,J0038-2501,J0038-2501,00:38:10.2,-25:01:30.7,,,0.256926,7.60e-19,3.892164,-1.151e-17,,,,,,,0.604,0.604,,,,5.36e+09,
44,J0039+35,J0039+35,00:39:06,+35:45,,,0.536700,,1.863238,,,,,,,,25.000,25.000,,,,,
45,B0037+56,J0040+5716,00:40:32.3,+57:16:24.8,12.390,-5.400,1.118225,2.88e-15,0.894274,-2.302e-15,-1.200e-28,7.50,0.60,,,,2.420,2.420,,4.39e+01,3.51e+00,6.15e+06,
46,J0043-73,J0043-73,00:43:25,-73:11,,,0.937429,,1.066747,,,,0.05,,,,58.938,58.938,,,1.63e+02,,
47,J0045-7042,J0045-7042,00:45:25.6,-70:42:07.1,,,0.632336,2.49e-15,1.581438,-6.227e-15,,,0.06,,,,59.700,58.577,,,2.28e+02,4.02e+06,
48,J0045-7319,J0045-7319,00:45:35.1,-73:19:03.0,,,0.926276,4.46e-15,1.079592,-5.202e-15,8.200e-25,1.00,0.25,,BT,51.1695,59.700,58.705,,3.56e+03,8.91e+02,3.29e+06,
49,B0045+33,J0048+3412,00:48:33.9,+34:12:08.0,,,1.217094,2.35e-15,0.821629,-1.589e-15,-1.000e-27,2.30,,,,,4.500,4.500,,4.66e+01,,8.19e+06,
50,J0050+03,J0050+03,00:50:31,+03:48,,,1.366560,,0.731764,,,,,,,,25.000,25.000,,,,,
51,J0051+0423,J0051+0423,00:51:30.1,+04:22:49,,,0.354732,7.00e-18,2.819031,-5.563e-17,,3.00,0.50,,,,1.250,1.250,,4.69e+00,7.81e-01,8.03e+08,
52,J0052-72,J0052-72,00:52:28,-72:05,,,0.191444,,5.223451,,,,0.04,,,,60.261,60.261,,,1.42e+02,,
53,J0054+66,J0054+66,00:54,+66,,,1.390000,,0.719424,,,,,,,,0.901,0.901,RRAT,,,,
54,J0054+69,J0054+69,00:54:28,+69:26,,,,,,,,,,,,,2.347,2.347,RRAT[kkl+15],,,,
55,J0054+6946,J0054+6946,00:54:59.1,+69:46:16.8,,,0.832911,7.19e-16,1.200608,-1.037e-15,,,,,,,2.758,2.758,,,,1.83e+07,
56,B0052+51,J0055+5117,00:55:45.3,+51:17:24.6,10.470,-17.400,2.115171,9.54e-15,0.472775,-2.132e-15,7.800e-28,3.40,1.50,,,,2.857,1.935,,2.78e+01,1.22e+01,3.51e+06,
57,B0053+47,J0056+4756,00:56:25.5,+47:56:10.5,,,0.472037,3.33e-15,2.118480,-1.494e-14,-2.700e-26,3.00,,,,,1.123,1.123,,3.78e+00,,2.25e+06,
58,J0057-7201,J0057-7201,00:57:44.0,-72:01:19,,,0.738062,1.00e-16,1.354899,-1.836e-16,,,,,,,3.476,3.476,,,,1.17e+08,
59,J0058+4950,J0058+4950,00:58:09.9,+49:50:26.0,,,0.996023,8.04e-16,1.003992,-8.100e-16,,,,,,,2.646,2.646,,,,1.96e+07,
60,J0058+6125,J0058+6125,00:58,+61:25,,,0.637000,,1.569859,,,,,,,,2.597,2.597,,,,,
61,J0058-7218,J0058-7218,00:58:16.7,-72:18:06,,,0.021766,2.89e-14,45.942987,-6.100e-11,,,,,,,59.700,,NRAD[met+21],,,1.19e+04,
62,J0059+69,J0059+69,00:59:30,+69:55,,,1.145900,,0.872676,,,,,,,,2.048,2.048,,,,,
63,J0100-7211,J0100-7211,01:00:43.0,-72:11:33.6,,,8.020392,1.88e-11,0.124682,-2.923e-13,,,,,,,59.700,,AXP,NRAD,,,6.76e+03,
64,J0100+8023,J0100+8023,01:00:16.0,+80:23:41.7,,,1.493601,3.54e-16,0.669523,-1.588e-16,,,,,,,2.848,2.848,,,,6.68e+07,
65,J0101-6422,J0101-6422,01:01:11.1,-64:22:30.1,10.000,-12.000,0.002573,5.16e-21,388.628426,-7.793e-16,,,0.16,,BT,1.7876,1.001,1.001,HE,,1.56e-01,7.90e+09,
66,J0102+4839,J0102+4839,01:02:50.6,+48:39:42.7,,,0.002960,1.17e-20,337.837838,-1.335e-15,,0.50,,,BT,1.6700,2.310,2.310,HE,2.67e+00,,4.01e+09,
67,B0059+65,J0102+6537,01:02:32.9,+65:37:13.4,9.240,1.770,1.679164,5.95e-15,0.595534,-2.112e-15,-2.870e-26,8.50,1.20,,,,2.500,1.978,,5.31e+01,7.50e+00,4.47e+06,
68,J0103+54,J0103+54,01:03:37,+54:02,,,0.354304,,2.822435,,,,,,,,2.010,2.010,RRAT[kkl+15],,,,
69,J0104+64,J0104+64,01:04,+64,,,1.386000,,0.721501,,,,,,,,1.711,1.711,,,,,
70,J0106+4855,J0106+4855,01:06:25.0,+48:55:51.8,,,0.083157,4.28e-16,12.025402,-6.188e-14,,,0.01,,,,3.063,3.063,HE,,7.51e-02,3.08e+06,
71,J0107+1322,J0107+1322,01:07:39.9,+13:22:31.7,,,1.197383,6.87e-16,0.835154,-4.792e-16,,,,,,,2.349,2.349,,,,2.76e+07,
72,J0108-1431,J0108-1431,01:08:08.3,-14:31:50.1,75.100,-152.500,0.807565,7.70e-17,1.238291,-1.181e-16,-8.900e-27,9.00,1.40,,,,0.210,0.232,,3.97e-01,6.17e-02,1.66e+08,
73,B0105+65,J0108+6608,01:08:22.5,+66:08:34.4,-32.750,35.150,1.283660,1.31e-14,0.779023,-7.920e-15,3.100e-25,10.00,0.90,,,,2.128,1.461,,4.53e+01,4.07e+00,1.56e+06,
74,B0105+68,J0108+6905,01:08:29.5,+69:05:52.6,,,1.071118,4.81e-17,0.933604,-4.192e-17,-7.800e-28,3.70,0.40,,,,1.981,1.981,,1.45e+01,1.57e+00,3.53e+08,
75,J0110-22,J0110-22,01:10,-22,,,1.262000,,0.792393,,,,,,,,25.000,25.000,,,,,
76,J0111+6624,J0111+6624,01:11:21.8,+66:24:10.8,,,4.301872,8.36e-15,0.232457,-4.520e-16,,,,,,,2.412,2.412,,,,8.15e+06,
77,J0111-7131,J0111-7131,01:11:28.7,-71:31:46.8,,,0.688542,7.09e-15,1.452345,-1.496e-14,,,0.04,,,,59.700,59.325,,,1.57e+02,1.54e+06,
78,J0113-7220,J0113-7220,01:13:11.0,-72:20:32.2,,,0.325883,4.86e-15,3.068586,-4.575e-14,,,0.19,,,,59.700,60.999,,,6.74e+02,1.06e+06,
79,J0115+6325,J0115+6325,01:15:45.8,+63:25:50.8,,,0.521455,1.60e-15,1.917709,-5.880e-15,,,,,,,1.931,1.931,,,,5.17e+06,
