,f_obs,fdot_obs,dist,mu,alpha,Mbh,fdot_ratio,tauGW,strain,powGW,EM_lum_eps6
120.0,230.087746,6.461e-15,4.69,9.51436351191579e-13,0.025565774645352823,3.6061378053660067,0.41904213927767625,16635.0,0.0,0.0,0.0
121.0,230.087746,6.461e-15,4.69,9.51436351191579e-13,0.026091814811861513,3.680337525808776,0.5398987798401851,13677.0,0.0,0.0,0.0
122.0,230.087746,6.461e-15,4.69,9.51436351191579e-13,0.026617854978370204,3.754537246251545,0.6919505771223626,11291.0,0.0,0.0,0.0
123.0,230.087746,6.461e-15,4.69,9.51436351191579e-13,0.027143895144878895,3.828736966694314,0.8823393985097033,9358.0,0.0,0.0,0.0
124.0,230.087746,6.461e-15,4.69,9.51436351191579e-13,0.027669935311387586,3.9029366871370836,1.119640872121284,7784.0,1.5444087738153305e-24,4.172291779136203e+34,1.9491005332438526e+43
125.0,230.087746,6.461e-15,4.69,9.51436351191579e-13,0.028195975477896276,3.9771364075798528,1.4141130077167892,6499.0,1.5301490752061082e-24,4.0954893796894886e+34,1.7937089223982541e+43
126.0,230.087746,6.461e-15,4.69,9.51436351191579e-13,0.028722015644404963,4.051336128022622,1.777981290526604,5445.0,1.5162836873975278e-24,4.021491456062316e+34,1.6532783691403728e+43
127.0,230.087746,6.461e-15,4.69,9.51436351191579e-13,0.029248055810913654,4.125535848465391,2.225764638071288,4577.0,1.5027947605234723e-24,3.9501467169047077e+34,1.5261302327444646e+43
128.0,230.087746,6.461e-15,4.69,9.51436351191579e-13,0.029774095977422345,4.19973556890816,2.774647022323711,3860.0,1.4896655547903719e-24,3.8813145625965556e+34,1.410799950475894e+43
129.0,230.087746,6.461e-15,4.69,9.51436351191579e-13,0.030300136143931036,4.27393528935093,3.444899999137367,3265.0,1.4768803532839752e-24,3.8148641571434165e+34,1.3060065717583103e+43
130.0,230.087746,6.461e-15,4.69,9.51436351191579e-13,0.030826176310439726,4.348135009793699,4.260361854900034,2770.0,1.4644243830067224e-24,3.750673595115017e+34,1.2106270626994825e+43
131.0,230.087746,6.461e-15,4.69,9.51436351191579e-13,0.031352216476948414,4.422334730236468,5.248979577359119,2357.0,1.4522837432389535e-24,3.688629152441611e+34,1.1236745682564474e+43
132.0,230.087746,6.461e-15,4.69,9.51436351191579e-13,0.03187825664345711,4.4965344506792375,6.4434203849911045,2011.0,1.4404453404359081e-24,3.6286246113907376e+34,1.0442799686257783e+43
133.0,230.087746,6.461e-15,4.69,9.51436351191579e-13,0.032404296809965795,4.570734171122006,7.881760107323815,1721.0,1.428896828966603e-24,3.570560651291455e+34,9.716761863825808e+42
134.0,230.087746,6.461e-15,4.69,9.51436351191579e-13,0.03293033697647449,4.644933891564776,9.608256298811916,1476.0,1.4176265570889269e-24,3.514344297674092e+34,9.051847976262635e+42
135.0,230.087746,6.461e-15,4.69,9.51436351191579e-13,0.033456377142983176,4.719133612007545,11.674214591645883,1270.0,1.4066235175968136e-24,3.4598884232660436e+34,8.442045786654335e+42
136.0,230.087746,6.461e-15,4.69,9.51436351191579e-13,0.03398241730949187,4.793333332450315,14.138957448757301,1095.0,1.395877302745307e-24,3.407111295611228e+34,7.882016834396225e+42
137.0,230.087746,6.461e-15,4.69,9.51436351191579e-13,0.03450845747600056,4.867533052893084,17.070905169095465,946.0,0.0,0.0,0.0
138.0,230.087746,6.461e-15,4.69,9.51436351191579e-13,0.03503449764250925,4.941732773335853,20.54877972180745,820.0,0.0,0.0,0.0
139.0,230.087746,6.461e-15,4.69,9.51436351191579e-13,0.03556053780901794,5.015932493778622,24.662942747528973,711.0,0.0,0.0,0.0
140.0,271.987229,2.842e-15,4.69,1.124694996709944e-12,0.02339077819914775,2.791084663902008,0.4392364289305434,33132.0,0.0,0.0,0.0
141.0,271.987229,2.842e-15,4.69,1.124694996709944e-12,0.024000241379471488,2.8638083382206547,0.6056009892424675,25855.0,0.0,0.0,0.0
142.0,271.987229,2.842e-15,4.69,1.124694996709944e-12,0.024609704559795224,2.9365320125393017,0.8280141807343164,20306.0,0.0,0.0,0.0
143.0,271.987229,2.842e-15,4.69,1.124694996709944e-12,0.02521916774011896,3.0092556868579483,1.123130086379106,16046.0,7.672949559615573e-25,1.439263707653258e+34,1.6468982718290097e+43
144.0,271.987229,2.842e-15,4.69,1.124694996709944e-12,0.025828630920442696,3.0819793611765953,1.5119198894525891,12754.0,7.583151435124073e-25,1.405732053749208e+34,1.4820348876257607e+43
145.0,271.987229,2.842e-15,4.69,1.124694996709944e-12,0.026438094100766432,3.154703035495242,2.0206341986398235,10194.0,7.496482933848751e-25,1.3737422849811357e+34,1.3370049905661606e+43
146.0,271.987229,2.842e-15,4.69,1.124694996709944e-12,0.02704755728109017,3.2274267098138885,2.6819462108843974,8191.0,7.412766395407201e-25,1.3431901866544944e+34,1.2090408399211097e+43
